"filename", "language", "JavaScript", "JSON", "JSON with Comments", "Markdown", "TypeScript", "Ignore", "Skill", "YAML", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\.claude\commands\plan-feature.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\.claude\commands\review-step.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\.claude\docs\architecture.md", "Markdown", 0, 0, 0, 291, 0, 0, 0, 0, 0, 0, 31, 70, 392
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\.claude\docs\domain-glossary.md", "Markdown", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 27, 92
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\.claude\docs\mvp-checklist.md", "Markdown", 0, 0, 0, 263, 0, 0, 0, 0, 0, 0, 66, 28, 357
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\.claude\skills\edgecase-review\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 25, 21, 94
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\.claude\skills\step-complete\SKILL.md", "Skill", 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 41, 35, 140
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 9, 8, 42
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\.prettierignore", "Ignore", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 5
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\.prettierrc", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\CLAUDE.md", "Markdown", 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 28, 113
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client-e2e\eslint.config.mjs", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client-e2e\package.json", "JSON", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client-e2e\playwright.config.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 30, 8, 69
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client-e2e\src\example.spec.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 3, 9
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client-e2e\tsconfig.json", "JSON with Comments", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\eslint.config.mjs", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\kiria\Desktop\fullstack\ai_detection_viewer\apps\ai_detection_viewer_client\index.d.ts", "TypeScript", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 1, 7
